cpu_usage,mem_usage,gpu_usage
0.000000,59.511078,4.200000
47.354496,62.563526,10.800000
55.189873,64.447220,12.900000
30.730478,65.016228,99.699997
45.177666,65.242981,17.900000
43.147209,65.206711,87.800003
44.416245,65.220810,40.400002
41.326530,65.459091,0.400000
52.173912,65.499496,99.599998
59.220779,65.511810,99.400002
60.519482,65.528862,0.400000
61.197918,65.523834,99.500000
60.629921,65.524521,99.199997
59.568733,65.526199,0.400000
60.422165,65.517525,51.599998
60.104988,65.536247,99.400002
68.870522,65.616272,99.300003
89.071037,66.032326,99.000000
85.907860,66.190392,0.400000
83.516487,65.969749,25.600000
72.559364,66.016464,99.400002
59.416447,65.698357,99.099998
62.698414,65.719940,0.400000
59.625668,65.737083,99.500000
56.951870,65.775124,99.199997
59.042553,65.760345,12.000000
58.115185,65.785469,99.400002
59.574467,65.803207,99.199997
61.126007,65.862045,0.400000
59.630608,65.834946,99.500000
59.523811,65.898705,99.199997
60.000000,65.902939,0.400000
60.422165,65.920677,99.500000
63.101604,65.934967,99.500000
65.796341,65.800941,46.099998
63.421051,65.809715,99.699997
63.466667,65.791878,99.400002
64.304459,65.829521,75.800003
64.893616,65.833069,20.700001
64.721489,65.811783,99.500000
62.532982,65.800255,99.500000
64.116096,65.711662,0.400000
61.930294,65.829720,99.599998
61.375660,65.841545,99.500000
63.227512,65.846573,27.700001
65.873016,65.841644,77.800003
64.285713,65.849327,99.500000
63.129974,65.854553,99.300003
65.263161,65.852776,0.400000
64.721489,65.858788,99.300003
63.896103,65.860863,99.199997
63.031914,65.828339,0.400000
63.466667,65.738365,99.699997
63.852242,65.865295,99.300003
63.968670,65.878006,99.699997
64.721489,65.879288,0.400000
64.566933,65.894760,99.500000
66.052635,66.228729,99.000000
64.800003,66.247063,0.400000
60.574413,66.260368,99.400002
61.375660,66.257401,99.300003
56.544502,65.953987,0.100000
60.574413,65.957336,99.500000
61.333332,65.980591,99.300003
63.157894,65.984039,0.400000
64.907654,65.956253,99.500000
68.421051,65.849426,99.300003
64.814812,65.852089,0.400000
65.079369,65.839676,99.599998
63.446476,65.848045,99.400002
66.124664,65.835136,0.600000
65.691490,65.848740,99.599998
63.101604,65.842628,99.400002
64.116096,65.833168,0.400000
64.814812,65.768723,99.500000
63.852242,65.827942,99.099998
65.263161,65.838196,0.400000
65.625000,65.836914,99.500000
64.095741,65.846573,99.500000
64.322914,65.841049,0.800000
65.354332,65.852684,99.599998
62.467190,65.847954,99.199997
64.566933,65.860367,6.200000
64.751961,65.862335,99.599998
63.116882,65.868942,99.300003
63.157894,65.851105,38.000000
64.736839,65.867363,99.599998
62.565445,65.881752,99.199997
64.490860,65.888062,1.600000
65.796341,65.899391,99.699997
63.707573,65.904022,99.400002
64.415581,65.910721,98.900002
65.706810,65.926987,1.600000
64.675323,65.931320,99.599998
61.879894,65.923630,99.599998
65.544044,65.927177,0.400000
65.104164,65.876724,99.599998
63.446476,65.797890,99.400002
72.251312,65.828041,36.700001
65.306122,65.827354,99.400002
63.588390,65.819374,99.000000
65.809769,65.821045,56.400002
64.766838,65.815529,99.500000
63.612564,65.830116,98.800003
64.736839,65.831100,78.900002
65.625000,65.829819,99.599998
63.129974,65.845390,99.599998
64.415581,65.859383,0.600000
66.066841,65.843124,99.500000
63.896103,65.832581,99.599998
64.659683,65.840759,6.300000
64.397903,65.841148,99.400002
63.402061,65.841545,99.599998
64.524422,65.855438,0.400000
62.982006,65.831985,99.500000
57.591621,65.858299,99.300003
61.538460,65.860168,13.700000
62.729660,66.202126,99.400002
62.500000,66.196907,99.099998
52.864582,66.181923,0.400000
65.816330,66.232384,99.500000
61.240311,65.927376,99.300003
61.458332,65.935265,4.400000
65.535248,65.924026,99.500000
63.116882,65.946991,99.300003
64.935066,65.926392,0.400000
65.885414,65.934082,99.500000
63.185379,65.937630,99.000000
64.583336,65.951820,0.400000
48.469387,65.971428,99.599998
52.564102,65.976746,99.400002
59.125965,65.915947,0.400000
45.780052,65.928757,99.599998
43.444729,65.912300,99.500000
45.918365,65.916733,0.200000
47.959183,65.930237,99.300003
48.302872,65.920975,99.500000
65.633072,65.919991,0.400000
63.829788,65.902443,99.500000
52.219322,65.921265,99.500000
51.570683,65.910431,4.300000
64.550262,65.917816,99.400002
62.864723,65.908257,99.599998
64.420486,65.919792,9.000000
55.376343,65.938118,99.599998
58.666668,65.934273,99.599998
54.838711,65.898506,19.500000
62.803234,65.806366,99.500000
63.060684,65.875244,99.400002
63.806969,65.909050,0.400000
64.322914,65.904320,99.599998
63.254593,65.918114,99.500000
62.330624,65.934471,50.799999
64.000000,65.918999,99.699997
62.962963,65.936348,99.400002
62.466488,65.963448,55.599998
64.627663,65.966400,76.599998
62.962963,65.979309,99.500000
62.631580,65.993500,99.500000
65.425529,66.002762,0.400000
64.304459,66.015480,99.400002
63.227512,66.010353,99.400002
64.210526,65.949158,0.400000
71.276596,65.751572,99.500000
